ext_id,title,image_link
177780046,710 Super Skinny Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/177780046-front-pdp.jpg
773160186,Levi's® 200 Series 2 Pack Boxer Briefs,http://lsco.scene7.com/is/image/lsco/Levi//773160186-2014-fall-front-pdp.jpg
158050021,Original Crew,http://lsco.scene7.com/is/image/lsco/Levi/clothing/158050021-front-pdp.jpg
195530007,601 Pin Skinny Jeans,http://lsco.scene7.com/is/image/lsco/Levi//195530007-front-pdp.jpg
193920015,One Pocket Boyfriend Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/193920015-front-pdp.jpg
675050096,á1967 505® JEANS,http://lsco.scene7.com/is/image/lsco/Levi/clothing/675050096-front-pdp.jpg
360600001,606™ Super Slim Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/360600001-front-pdp.jpg
195730016,Worker Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/195730016-front-pdp.jpg
773190864,Levis® 168 Series 2 Pack Stripe Socks,http://lsco.scene7.com/is/image/lsco/Levi/clothing/773190864-front-pdp.jpg
165080519,508™ Regular Taper Fit,http://lsco.scene7.com/is/image/lsco/Levi/clothing/165080519-front-pdp.jpg
165080137,508™ Regular Taper Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/165080137-508-Regular-Taper-Jeans-Tenant-2012-spring-front-pdp.jpg
771360151,Wool Turn Up Beanie,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771360151-Wool-Turn-Up-Beanie-Red-2013-fall-front-pdp.jpg
57030418,Modern Rise Demi Curve Skinny Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/057030418-Modern-Rise-Demi-Curve-Skinny-Jeans-Real-Blue-2012-fall-front-pdp.jpg
5011548,501® Original Fit Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/005011548-501-Original-Fit-Jeans-White-2013-spring-front-pdp.jpg
771270867,Original Suede/Mesh Sneaker,http://lsco.scene7.com/is/image/lsco/Levi/shoes/771270867-Original-Suede-Mesh-Sneaker-Brown-2013-spring-front-pdp.jpg
139790002,Puffer Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/139790002-2014-fall-front-pdp.jpg
658850024,Classic Truckee Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658850024-front-pdp.jpg
773190435,Levi's® 168 Series 2 Pack Socks,http://lsco.scene7.com/is/image/lsco/Levi/accessories/773190435-2015-spring-front-pdp.jpg
299900413,504™ Regular Straight Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/299900413-2015-spring-front-pdp.jpg
219450174,Levi's« St. Pauli Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/219450174-front-pdp.jpg
5012146,501® Original Fit Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/005012146-2015-fall-front-pdp.jpg
