ext_id,title,link,predicted_ontology
P22269533,Pure Cotton Printed Half Sleeve T-Shirt,http://www.marksandspencer.com/pure-cotton-no-peep-broderie-shirt/p/p22269533,unisex>topwear>tshirts
P60100703,2 Pack Boys' Slim Leg Trousers,http://www.marksandspencer.com/boys-2-pack-slim-leg-trousers-with-crease-resistant/p/p60100703,boys>bottomwear>pants>trousers
P60097372,Easy to Iron Tailored Fit Dinner Shirt,http://www.marksandspencer.com/pure-cotton-easy-to-iron-tailored-fit-shirt/p/p60097372,unisex>topwear>shirts
P60101937,Boys' Performance Sports T-Shirt,http://www.marksandspencer.com/boys-sports-top/p/p60101937,boys>topwear>tshirts
P60098373,2 Pack Girls' Non-Iron Blouses,http://www.marksandspencer.com/2-pack-unisex-non-iron-short-sleeve-blouses/p/p60098373,girls>topwear>blouses
P60097410,Easy to Iron Slim Fit Dinner Shirt,http://www.marksandspencer.com/pure-cotton-easy-to-iron-slim-fit-shirt/p/p60097410,unisex>topwear>shirts
P60100084,PLUS Boys' Slim Leg Trousers,http://www.marksandspencer.com/plus-boys-crease-resistant-trousers/p/p60100084,boys>bottomwear>pants>trousers
P60100146,Boys' Slim Leg Slim Fit Trousers,http://www.marksandspencer.com/boys-slim-leg-trousers-with-supercrease/p/p60100146,boys>bottomwear>pants>trousers
P22284725,3 Pack Pure Cotton Crew Neck Vests,http://www.marksandspencer.com/3-pack-pure-cotton-crew-neck-vests/p/p22284725,unisex>outerwear>jackets&coats>vests
P60098376,3 Pack Girls' Easy to Iron Blouses,http://www.marksandspencer.com/3-pack-girls-easy-to-iron-blouse/p/p60098376,girls>topwear>blouses
P22162509,Leather Wedge Heel Loafers,http://www.marksandspencer.com/footglove-leather-slip-on-loafers/p/p22162509,women>shoes>heels>wedges
P22459667,Gold Plated Tassel Drop Necklace,http://www.marksandspencer.com/gold-plated-tassel-drop-necklace/p/p22459667,women>accessories>jewelry>necklaces
P22357683,Leather Double Strap Monk Shoes,http://www.marksandspencer.com/leather-double-strap-monk-shoes/p/p22357683,unisex>shoes>others
P60115917,Multiway Strap Maxi Dress,http://www.marksandspencer.com/multiway-slip-dress/p/p60115917,women>dresses>maxi
P22324264,Blue Checked Tailored Fit Wool Trousers,http://www.marksandspencer.com/pure-wool-tailored-fit-prince-of-wales-flat-front-trousers/p/p22324264,unisex>bottomwear>pants>trousers
P22371324,Pure Silk Self-Tie Bow Tie,http://www.marksandspencer.com/pure-silk-bow-tie/p/p22371324,men>accessories>ties_pocket_squares
P22316712,Long Sleeve Feeder Striped Cotton Rich Thermal Vest,http://www.marksandspencer.com/long-sleeve-feeder-striped-thermal-vest/p/p22316712,unisex>outerwear>jackets&coats>vests
P60116664,Pure Cotton Easy to Iron Tailored Fit Shirt,http://www.marksandspencer.com/pure-cotton-easy-to-iron-tailored-fit-shirt/p/p60116664,unisex>topwear>shirts
P22474923,Pure Silk Tie MADE WITH SWAROVSKI&reg; ELEMENTS,http://www.marksandspencer.com/pure-silk-tie-with-swarovski-elements/p/p22474923,men>accessories>ties_pocket_squares
P22212601,Floral Jacquard Lace Underwired Full Cup Bra,http://www.marksandspencer.com/floral-jacquard-lace-underwired-j-cup-bra/p/p22212601,women>lingerie>bras
P22489756,Straight Fit Pure Cotton Chinos,http://www.marksandspencer.com/pure-cotton-flat-front-chinos/p/p22489756,unisex>bottomwear>pants>others
P60107774,Navy Checked Slim Fit Wool Trousers,http://www.marksandspencer.com/navy-checked-slim-fit-wool-trousers/p/p60107774,unisex>bottomwear>pants>trousers
P22481181,Pure Cotton Bodysuit (0-3 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-0-3-years-/p/p22481181,kids>topwear>bodysuits
P22305956,2 Pack Boys' Easy to Iron Shirts,http://www.marksandspencer.com/2-pack-boys-easy-to-iron-short-sleeve-shirts/p/p22305956,boys>topwear>shirts
P22226412,Junior Girls' Embroidered Trousers,http://www.marksandspencer.com/girls-junior-embroidered-trousers-with-stormwear-/p/p22226412,girls>bottomwear>pants>trousers
P22477064,Unisex Pure Cotton Sleeping Suit (3-8 Years),http://www.marksandspencer.com/long-sleeve-sleeping-suit-without-feet/p/p22477064,unisex>suits
