ext_id,title,link,msd_ontology_with_link,msd_ontology_with_title,cp_ontology_with_link,cp_ontology_with_title
P60139560,Kids’ Novelty Straw Sequin Summer Hat (6 Months - 6 Years),http://www.marksandspencer.com/kids-novelty-straw-sequin-summer-hat/p/p60139560,NA>accessories>hats>others,NA>accessories>hats>others,NA>accessories>hats>others,NA>accessories>hats>others
P60147585,Cotton Shorts with Stretch (6-16 Years),http://www.marksandspencer.com/cotton-shorts-with-stretch-6-16-years-/p/p60147585,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P60137010,Link Expander Bracelet Set,http://www.marksandspencer.com/link-expander-bracelet-set/p/p60137010,NA>accessories>jewelry>bracelets&bangles,NA>accessories>jewelry>bracelets&bangles,NA>accessories>jewelry>bracelets&bangles,NA>accessories>jewelry>bracelets&bangles
P60157979,Puffball Hem Dress (3 Months - 7 Years),http://www.marksandspencer.com/puffball-hem-dress-3-months-7-years-/p/p60157979,NA>dresses>others,NA>dresses>others,NA>dresses>others,NA>dresses>others
P60131161,PLUS Active Cotton Rich Joggers,http://www.marksandspencer.com/active-cotton-rich-joggers/p/p60131161,NA>activewear>pants,NA>activewear>pants,NA>activewear>pants,NA>activewear>pants
P60138947,Additional Length Chinos (3-16 Years),http://www.marksandspencer.com/additional-length-chinos-3-16-years-/p/p60138947,NA>bottomwear>pants>others,NA>bottomwear>pants>others,NA>bottomwear>pants>others,NA>bottomwear>pants>others
P60139552,Kids’ 2 Pack Pure Cotton Nautical Summer Hats (3 Months - 6 Years),http://www.marksandspencer.com/kids-2-pack-pure-cotton-nautical-summer-hats/p/p60139552,NA>accessories>hats>others,NA>accessories>hats>others,NA>accessories>hats>others,NA>accessories>hats>others
P60143264,CURVE Cotton Rich Longline Trench Coat,http://www.marksandspencer.com/plus-cotton-rich-longline-trench-coat/p/p60143264,NA>outerwear>jackets&coats>trenchcoats,NA>outerwear>jackets&coats>trenchcoats,NA>outerwear>jackets&coats>trenchcoats,NA>outerwear>jackets&coats>trenchcoats
P60139274,Pure Cotton Round Neck Vest Top,http://www.marksandspencer.com/pure-cotton-round-neck-vest-top/p/p60139274,NA>outerwear>jackets&coats>vests,NA>outerwear>jackets&coats>vests,NA>outerwear>jackets&coats>vests,NA>outerwear>jackets&coats>vests
P60147337,Pure Cotton Embellished Frill Top (3-16 Years),http://www.marksandspencer.com/pure-cotton-embellished-frill-top-3-16-years-/p/p60147337,NA>topwear>others,NA>topwear>others,NA>topwear>others,NA>topwear>others
P60132050,Active Hipster Bikini Bottoms,http://www.marksandspencer.com/active-hipster-bikini-bottoms/p/p60132050,NA>swimwear>bikini,NA>swimwear>bikini,NA>swimwear>bikini,NA>swimwear>bikini
P60159756,5 Denier Bare Invisibles Slip Resist Tights,http://www.marksandspencer.com/5-denier-bare-invisibles-slip-resist-tights/p/p60159756,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings
P60147815,Pure Cotton Broderie Top (3-16 Years),http://www.marksandspencer.com/pure-cotton-broderie-top-3-16-years-/p/p60147815,NA>topwear>others,NA>topwear>others,NA>topwear>others,NA>topwear>others
